case_number,time_reported,time_started,time_ended,location_of_occurence,domestic_relationship,incident_type,criminal_offense,disposition
202300510,2023-04-16 03:27:11,2023-04-16 02:03:00,2023-04-16 02:03:00,"515 S FIFTH ST, COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202300509,2023-04-15 23:51:00,2023-04-15 02:03:59,2023-04-16 02:04:00,"906 VIRGINIA AVE, COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,FORGERY,CLEARED BY ARREST
202300509,2023-04-15 23:51:00,2023-04-15 02:03:59,2023-04-16 02:04:00,"906 VIRGINIA AVE, COLUMBIA MO, 65201     ",NO  ,DRUG - PARAPHERNALIA / EQUIPMENT,FORGERY,CLEARED BY ARREST
202300509,2023-04-15 23:51:00,2023-04-15 02:03:59,2023-04-16 02:04:00,"906 VIRGINIA AVE, COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202300509,2023-04-15 23:51:00,2023-04-15 02:03:59,2023-04-16 02:04:00,"906 VIRGINIA AVE, COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202300508,2023-04-16 00:50:00,2023-04-16 00:50:00,2023-04-16 00:50:00,"309 HITT ST, COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202300507,2023-04-16 00:52:00,2023-04-16 00:52:00,2023-04-16 00:52:00,"402 KENTUCKY BLVD, COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202300506,2023-04-15 23:49:00,2023-04-15 23:48:59,2023-04-15 23:49:00,"906 VIRGINIA AVE, COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST
202300505,2023-04-15 00:00:00,2023-04-15 00:00:00,2023-04-15 00:00:00,"1509 ROLLING ROCK DR, COLUMBIA MO, 65201     ", ,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202300504,2023-04-15 12:58:00,2023-04-14 15:00:00,2023-04-15 12:57:00,"500 S COLLEGE AVE, COLUMBIA MO, 65201     ",NO  ,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,EXCEPTIONALLY CLEARED
202300503,2023-04-15 03:54:00,2023-04-15 03:54:00,2023-04-15 03:54:00,"1306 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,MEDICAL EMERGENCY,MEDICAL EMERGENCY,CLOSED
202300502,2023-04-15 04:00:00,2023-04-15 02:04:00,2023-04-15 02:04:00,"404 KENTUCKY BLVD, COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300501,2023-04-15 02:01:00,2023-04-15 02:01:00,2023-04-15 02:01:00,"399 S NINTH ST, COLUMBIA MO, 65201     ",NO  ,MEDICAL EMERGENCY,MEDICAL EMERGENCY,CLOSED
202300500,2023-04-15 01:47:00,2023-04-15 01:47:00,2023-04-15 01:47:00,"1099 S PROVIDENCE RD, COLUMBIA MO, 65201     ",NO  ,DWI,DWI,CLEARED BY ARREST
202300500,2023-04-15 01:47:00,2023-04-15 01:47:00,2023-04-15 01:47:00,"1099 S PROVIDENCE RD, COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST
202300499,2023-04-15 00:29:00,2023-04-15 00:29:00,2023-04-15 00:29:00,"1099 S PROVIDENCE RD, COLUMBIA MO, 65201     ",NO  ,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202300498,2023-04-14 15:55:00,2023-04-14 15:54:59,2023-04-14 15:55:00,"1299 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300497,2023-04-14 15:24:00,2023-04-14 15:23:59,2023-04-14 15:24:00,"999 E STADIUM BLVD, COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300496,2023-04-14 02:22:00,2023-04-14 02:22:00,2023-04-14 02:22:00,"309 HITT STREET, COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202300495,2023-04-14 01:24:00,2023-04-14 01:24:00,2023-04-14 01:24:00,"300 ELM ST, COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202300495,2023-04-14 01:24:00,2023-04-14 01:24:00,2023-04-14 01:24:00,"300 ELM ST, COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202300495,2023-04-14 01:24:00,2023-04-14 01:24:00,2023-04-14 01:24:00,"300 ELM ST, COLUMBIA MO, 65201     ",NO  ,DWI,FORGERY,CLEARED BY ARREST
202300494,2023-04-14 00:52:00,2023-04-14 00:52:00,2023-04-14 00:52:00,"499 S FIFTH ST, COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202300494,2023-04-14 00:52:00,2023-04-14 00:52:00,2023-04-14 00:52:00,"499 S FIFTH ST, COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202300493,2023-04-13 23:28:00,2023-04-13 23:28:00,2023-04-13 23:28:00,"0 S PROVIDENCE RD, COLUMBIA MO, 65203     ",NO  ,DWI,DWI,CLEARED BY ARREST
202300493,2023-04-13 23:28:00,2023-04-13 23:28:00,2023-04-13 23:28:00,"0 S PROVIDENCE RD, COLUMBIA MO, 65203     ",NO  ,WARRANT ARREST,DWI,CLEARED BY ARREST
202300493,2023-04-13 23:28:00,2023-04-13 23:28:00,2023-04-13 23:28:00,"0 S PROVIDENCE RD, COLUMBIA MO, 65203     ",NO  ,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST
202300492,2023-04-13 21:43:00,2023-04-13 21:42:59,2023-04-13 21:43:00,"15550 S BOB VEACH RD, ASHLAND MO, 65010     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300491,2023-04-13 17:47:00,2023-04-13 17:46:59,2023-04-13 17:47:00,"1099 ELM ST, COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300490,2023-04-13 17:19:00,2023-04-13 17:18:59,2023-04-13 17:19:00,"0 TIGER AVE, COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300489,2023-04-13 17:10:00,2023-04-13 17:09:59,2023-04-13 17:10:00,"400 KENTUCKY BLVD, COLUMBIA MO, 65201     ",NO  ,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202300488,2023-04-13 12:27:00,2023-04-13 12:20:00,2023-04-13 12:27:00,"399 HITT ST, COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300487,2023-04-13 12:19:00,2023-04-13 12:18:59,2023-04-13 12:19:00,"299 S FIFTH ST, COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300486,2023-04-13 00:46:00,2023-04-13 00:46:00,2023-04-13 00:46:00,"400 KENTUCKY BLVD, COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202300485,2023-04-12 15:35:00,2023-04-12 10:00:00,2023-04-12 10:00:00,"1 HOSPITAL DR, COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202300484,2023-04-12 13:02:00,2023-04-12 13:02:00,2023-04-12 13:02:00,"1100 EAST CAMPUS LOOP, COLUMBIA MO, 65201     ",NO  ,HARASSMENT,HARASSMENT,ACTIVE
202300483,2023-04-11 18:53:00,2023-04-11 18:53:00,2023-04-11 18:53:00,"15 HOSPITAL DR, COLUMBIA MO, 65201     ",NO  ,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202300482,2023-04-11 16:13:00,2023-04-11 16:12:59,2023-04-11 16:13:00,"700 TIGER AVE, COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300481,2023-04-11 15:28:00,2023-04-11 15:28:00,2023-04-11 15:28:00,"901 VIRGINIA AVENUE, COLUMBIA MO, 65211     ",NO  ,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202300480,2023-04-11 07:47:00,2023-04-11 07:46:59,2023-04-11 07:47:00,"1199 E STADIUM BLVD, COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300479,2023-04-11 03:41:34,2023-04-11 01:48:00,2023-04-11 01:48:00,"906 VIRGINIA AVE, COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202300478,2023-04-10 15:58:00,2023-04-10 15:57:59,2023-04-10 15:58:00,"520 S NINTH ST, COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300477,2023-04-10 16:02:00,2023-04-10 16:02:00,2023-04-10 16:02:00,"311 S SIXTH ST, COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300476,2023-04-10 08:37:00,2023-04-10 08:36:59,2023-04-10 08:37:00,"999 ELM ST, COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300475,2023-04-09 20:36:00,2023-04-09 20:23:06,2023-04-09 20:36:00,"311 S SIXTH ST, COLUMBIA MO, 65201     ",NO  ,DWI,DWI,CLEARED BY ARREST
202300474,2023-04-09 06:04:03,2023-04-09 06:04:02,2023-04-09 06:04:03,"1501 CAPEN PARK DR, COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300473,2023-04-09 02:26:00,2023-04-09 02:26:00,2023-04-09 02:26:00,"1306 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202300472,2023-04-09 04:29:46,2023-04-09 01:18:00,2023-04-09 01:18:00,"1306 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202300472,2023-04-09 04:29:46,2023-04-09 01:18:00,2023-04-09 01:18:00,"1306 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,FORGERY,ASSAULT-SIMPLE,CLEARED BY ARREST
202300472,2023-04-09 04:29:46,2023-04-09 01:18:00,2023-04-09 01:18:00,"1306 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,OTHER OFFENSE - REPORTABLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202300471,2023-04-09 00:25:00,2023-04-09 00:25:00,2023-04-09 00:25:00,"1199 MONK DR, COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202300471,2023-04-09 00:25:00,2023-04-09 00:25:00,2023-04-09 00:25:00,"1199 MONK DR, COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,FORGERY,CLEARED BY ARREST
202300470,2023-04-08 23:45:00,2023-04-08 23:44:59,2023-04-08 23:45:00,"900 N PROVIDENCE RD, COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300469,2023-04-08 22:07:03,2023-04-08 22:07:03,2023-04-08 22:07:03,"0 COLLEGE AVE, COLUMBIA MO, 65211     ",NO  ,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202300468,2023-04-08 00:01:00,2023-04-08 00:01:00,2023-04-08 00:01:00,"1030 HITT ST, COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST
202300467,2023-04-07 22:22:00,2023-04-07 22:21:59,2023-04-07 22:22:00,"1306 ROLLINS STREET, COLUMBIA MO, 65201     ",NO  ,HARASSMENT,HARASSMENT,EXCEPTIONALLY CLEARED
202300466,2023-04-07 18:36:00,2023-04-07 00:00:00,2023-04-07 00:00:00,"805 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300465,2023-04-07 19:22:00,2023-04-07 19:22:00,2023-04-07 19:22:00,"1300 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202300464,2023-04-07 01:30:00,2023-04-07 01:30:00,2023-04-07 01:30:00,"1199 E STADIUM BLVD, COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST
202300463,2023-04-07 03:39:10,2023-04-06 22:39:00,2023-04-06 22:39:00,"904 S COLLEGE AVE, COLUMBIA MO, 65201     ",NO  ,OTHER OFFENSE - NOT REPORTABLE,OTHER OFFENSE - NOT REPORTABLE,INACTIVE (MUPD ONLY)
202300462,2023-04-06 16:32:00,2023-02-01 00:00:00,2023-03-17 00:00:00,"1406 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,INACTIVE (MUPD ONLY)
202300461,2023-04-06 15:52:00,2023-04-06 15:52:00,2023-04-06 15:52:00,"1099 W STADIUM BLVD, COLUMBIA MO, 65203     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300460,2023-04-06 14:29:00,2023-04-06 14:28:59,2023-04-06 14:29:00,"1100 MICK DEAVER DR, COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,LEAVING THE SCENE OF ACCIDENT,ACTIVE
202300460,2023-04-06 14:29:00,2023-04-06 14:28:59,2023-04-06 14:29:00,"1100 MICK DEAVER DR, COLUMBIA MO, 65201     ",NO  ,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,ACTIVE
202300459,2023-04-06 14:15:00,2023-04-06 14:14:59,2023-04-06 14:15:00,"900 UNIVERSITY AVE, COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300458,2023-04-06 07:40:00,2023-04-05 15:30:00,2023-04-06 07:15:00,"1115 UNIVERSITY AVE, COLUMBIA MO, 65201     ",NO  ,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,ACTIVE
202300457,2023-04-06 03:49:29,2023-04-06 01:57:00,2023-04-06 01:57:00,"1 HOSPITAL DR, COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202300456,2023-04-05 15:33:00,2023-04-05 15:33:00,2023-04-05 15:33:00,"901 HITT ST, COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202300455,2023-04-05 00:28:00,2023-04-05 00:27:59,2023-04-05 00:28:00,"1 HOSPITAL DR, COLUMBIA MO, 65201     ",NO  ,RECOVER VEH./PROP.,RECOVER VEH./PROP.,CLOSED
202300454,2023-04-05 03:43:20,2023-04-04 23:49:00,2023-04-04 23:49:00,"908 VIRGINIA AVE, COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300453,2023-04-04 22:05:00,2023-04-04 22:04:59,2023-04-04 22:05:00,"411 S SIXTH ST, COLUMBIA MO, 65201     ",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202300452,2023-04-04 21:17:00,2023-04-04 21:17:00,2023-04-04 21:17:00,"1100 ROLLINS STREET, COLUMBIA MO, 65211     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202300451,2023-04-04 16:53:00,2023-04-04 16:53:00,2023-04-04 16:53:00,"1 HOSPITAL DR, COLUMBIA MO, 65201     ",NO  ,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202300450,2023-04-04 16:46:00,2023-04-04 16:45:59,2023-04-04 16:46:00,"999 E STADIUM BLVD, COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300449,2023-04-04 13:39:00,2023-04-04 13:30:00,2023-04-04 13:31:00,"1805 E WALNUT ST, COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202300448,2023-04-04 12:27:00,2023-04-04 12:27:00,2023-04-04 12:27:00,"1 HOSPITAL DR, COLUMBIA MO, 65201     ",NO  ,TRESPASS,TRESPASS,CLEARED BY ARREST
202300447,2023-04-04 11:26:00,2023-04-04 11:25:59,2023-04-04 11:26:00,"909 HITT ST, COLUMBIA MO, 65201     ",NO  ,TRESPASS,TRESPASS,CLEARED BY ARREST
202300446,2023-04-04 10:32:00,2023-04-04 09:20:00,2023-04-04 10:25:00,"901 ROLLINS ST, COLUMBIA MO, 65201     ",NO  ,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
