case_number,time_reported,time_started,time_ended,location_of_occurrence,domestic_relationship,incident_type,criminal_offense,disposition,latitude,longitude,zip_code,year,month,day,hour,day_of_week,general_offense
202300536,2023-04-21 18:04:00,2023-04-21 18:03:59,2023-04-21 18:04:00,"999 CHAMPIONS DR, COLUMBIA MO",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED,38.9343579,-92.3267468,65201,2023,4,21,18,Friday,CRASH INVESTIGATION
202300535,2023-04-21 08:28:00,2023-04-21 03:00:00,2023-04-21 05:30:00,"599 E STEWART RD, COLUMBIA MO",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,ACTIVE,38.9459501,-92.3309571,65201,2023,4,21,3,Friday,PROPERTY DAMAGE
202300534,2023-04-21 02:09:00,2023-04-21 02:09:00,2023-04-21 02:09:00,"399 W STADIUM BLVD, COLUMBIA MO",NO  ,DWI,DWI,CLEARED BY ARREST,0.1682572560793622,90870616.0,65203,2023,4,21,2,Friday,DWI
202300533,2023-04-21 01:34:00,2023-04-21 01:34:00,2023-04-21 01:34:00,"1089 ROLLINS ST, COLUMBIA MO",NO  ,FORGERY,FORGERY,CLEARED BY ARREST,38.9421887,-92.3257759,65201,2023,4,21,1,Friday,FORGERY
202300532,2023-04-21 01:02:00,2023-04-21 01:01:59,2023-04-21 01:02:00,"800 VIRGINIA AVE, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,FORGERY,CLEARED BY ARREST,38.941356,-92.323109,65201,2023,4,21,1,Friday,FORGERY
202300532,2023-04-21 01:02:00,2023-04-21 01:01:59,2023-04-21 01:02:00,"800 VIRGINIA AVE, COLUMBIA MO",NO  ,FORGERY,FORGERY,CLEARED BY ARREST,38.941356,-92.323109,65201,2023,4,21,1,Friday,FORGERY
202300532,2023-04-21 01:02:00,2023-04-21 01:01:59,2023-04-21 01:02:00,"800 VIRGINIA AVE, COLUMBIA MO",NO  ,DWI,FORGERY,CLEARED BY ARREST,38.941356,-92.323109,65201,2023,4,21,1,Friday,FORGERY
202300531,2023-04-21 00:24:00,2023-04-21 00:24:00,2023-04-21 00:24:00,"1306 ROLLINS ST, COLUMBIA MO",NO  ,LIQUOR LAW,FORGERY,EXCEPTIONALLY CLEARED,38.9407214,-92.320369,65201,2023,4,21,0,Friday,FORGERY
202300531,2023-04-21 00:24:00,2023-04-21 00:24:00,2023-04-21 00:24:00,"1306 ROLLINS ST, COLUMBIA MO",NO  ,FORGERY,FORGERY,EXCEPTIONALLY CLEARED,38.9407214,-92.320369,65201,2023,4,21,0,Friday,FORGERY
202300530,2023-04-21 01:05:00,2023-04-21 00:14:00,2023-04-21 00:14:00,"711 TIGER AVE, COLUMBIA MO",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST,38.9426559,-92.3303122,65201,2023,4,21,0,Friday,PROPERTY DAMAGE
202300528,2023-04-20 08:26:00,2023-04-20 08:25:59,2023-04-20 08:26:00,"915 LOCUST ST, COLUMBIA MO",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,ACTIVE,38.9495762,-92.3270659,65201,2023,4,20,8,Thursday,SICK/MENTALLY ILL PERSON
202300527,2023-04-21 08:20:46,2023-04-20 09:30:00,2023-04-20 09:47:00,"1 HOSPITAL DR, COLUMBIA MO",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE,38.938273,-92.3273842,65201,2023,4,20,9,Thursday,ASSAULT
202300526,2023-04-21 07:25:20,2023-04-19 14:30:00,2023-04-20 08:55:00,"901 ROLLINS ST, COLUMBIA MO",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY),38.9424411,-92.3269044,65201,2023,4,19,14,Wednesday,PROPERTY DAMAGE
202300525,2023-04-20 02:33:00,2023-04-20 02:33:00,2023-04-20 02:33:00,"851 CHAMPIONS DR, COLUMBIA MO",NO  ,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,ACTIVE,38.9342168,-92.3287348,65201,2023,4,20,2,Thursday,MOTOR VEHICLE THEFT
202300524,2023-04-20 01:43:00,2023-04-20 01:42:59,2023-04-20 01:43:00,"801 CONLEY AVE, COLUMBIA MO",NO  ,TRESPASS,TRESPASS,CLEARED BY ARREST,38.9453385,-92.3282738,65201,2023,4,20,1,Thursday,TRESPASS
202300523,2023-04-20 00:19:00,2023-04-20 00:18:59,2023-04-20 00:19:00,"601 TURNER AVE, COLUMBIA MO",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED,38.9436063,-92.3306936,65201,2023,4,20,0,Thursday,SICK/MENTALLY ILL PERSON
202300522,2023-04-20 00:00:00,2023-04-20 00:00:00,2023-04-20 00:00:00,"1100 ROLLINS ST, COLUMBIA MO",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED,38.9419232,-92.3245092,65201,2023,4,20,0,Thursday,SICK/MENTALLY ILL PERSON
202300521,2023-04-19 21:55:00,2023-04-19 21:54:59,2023-04-19 21:55:00,"1299 UNIVERSITY AVE, COLUMBIA MO",NO  ,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLEARED BY ARREST,38.9464077,-92.3220789,65201,2023,4,19,21,Wednesday,ASSIST OTHER AGENCY (MUPD)
202300520,2023-04-19 13:02:00,2023-04-19 13:01:59,2023-04-19 13:02:00,"399 S EIGHTH ST, COLUMBIA MO",NO  ,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,CLEARED BY ARREST,38.9485426,-92.3287063,65201,2023,4,19,13,Wednesday,LEAVING THE SCENE OF ACCIDENT
202300519,2023-04-18 21:59:00,2023-04-18 21:59:00,2023-04-18 21:59:00,"601 SOUTH PROVIDENCE RD, COLUMBIA MO",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST,38.9435979,-92.3366685,65211,2023,4,18,21,Tuesday,DRUG 
202300518,2023-04-18 20:55:00,2023-04-18 20:55:00,2023-04-18 20:55:00,"115 W BUSINESS LOOP 70, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST,38.9674394,-92.3393784,65203,2023,4,18,20,Tuesday,TRAFFIC OFFENSE
202300518,2023-04-18 20:55:00,2023-04-18 20:55:00,2023-04-18 20:55:00,"115 W BUSINESS LOOP 70, COLUMBIA MO",NO  ,WARRANT ARREST,TRAFFIC OFFENSE,CLEARED BY ARREST,38.9674394,-92.3393784,65203,2023,4,18,20,Tuesday,TRAFFIC OFFENSE
202300517,2023-04-18 18:59:55,2023-04-18 18:59:54,2023-04-18 18:59:55,"1349 E BROADWAY, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST,38.9514022,-92.3209517,65201,2023,4,18,18,Tuesday,TRAFFIC OFFENSE
202300516,2023-04-18 14:16:00,2023-04-18 14:16:00,2023-04-18 14:16:00,"1449 S PROVIDENCE RD, COLUMBIA MO",NO  ,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLOSED,38.9344839,-92.3367387,65203,2023,4,18,14,Tuesday,ASSIST OTHER AGENCY (MUPD)
202300515,2023-04-18 13:35:01,2023-04-18 13:35:00,2023-04-18 13:35:01,"500 N KEENE ST, COLUMBIA MO",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED,38.9581097,-92.2880102,65201,2023,4,18,13,Tuesday,SICK/MENTALLY ILL PERSON
202300514,2023-04-17 21:31:00,2023-04-17 21:31:00,2023-04-17 21:31:00,"1133 ASHLAND RD, COLUMBIA MO",NO  ,LARCENY - OTHER,LARCENY - OTHER,ACTIVE,38.9345493,-92.317294,65201,2023,4,17,21,Monday,LARCENY 
202300513,2023-04-17 15:38:00,2023-04-13 20:33:00,2023-04-15 05:25:14,"908 VIRGINIA AVE, COLUMBIA MO",NO  ,LARCENY - OTHER,LARCENY - OTHER,ACTIVE,38.9396693,-92.3233506,65201,2023,4,13,20,Thursday,LARCENY 
202300512,2023-04-17 10:45:46,2023-04-17 10:45:45,2023-04-17 10:45:46,"1299 ROLLINS ST, COLUMBIA MO",NO  ,WARRANT ARREST,TRAFFIC OFFENSE,CLEARED BY ARREST,38.9421671,-92.3220982,65201,2023,4,17,10,Monday,TRAFFIC OFFENSE
202300512,2023-04-17 10:45:46,2023-04-17 10:45:45,2023-04-17 10:45:46,"1299 ROLLINS ST, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST,38.9421671,-92.3220982,65201,2023,4,17,10,Monday,TRAFFIC OFFENSE
202300511,2023-04-16 23:40:00,2023-04-16 23:39:59,2023-04-16 23:40:00,"907 HITT ST, COLUMBIA MO",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST,38.939613,-92.3267953,65201,2023,4,16,23,Sunday,DRUG 
202300511,2023-04-16 23:40:00,2023-04-16 23:39:59,2023-04-16 23:40:00,"907 HITT ST, COLUMBIA MO",NO  ,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - NARCOTIC,CLEARED BY ARREST,38.939613,-92.3267953,65201,2023,4,16,23,Sunday,DRUG 
202300510,2023-04-16 03:27:11,2023-04-16 02:03:00,2023-04-16 02:03:00,"515 S FIFTH ST, COLUMBIA MO",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED,38.945106,-92.3324859,65201,2023,4,16,2,Sunday,LIQUOR LAW
202300509,2023-04-15 23:51:00,2023-04-15 02:03:59,2023-04-16 02:04:00,"906 VIRGINIA AVE, COLUMBIA MO",NO  ,DRUG - NARCOTIC,FORGERY,CLEARED BY ARREST,38.939745,-92.3223941,65201,2023,4,15,2,Saturday,FORGERY
202300509,2023-04-15 23:51:00,2023-04-15 02:03:59,2023-04-16 02:04:00,"906 VIRGINIA AVE, COLUMBIA MO",NO  ,DRUG - PARAPHERNALIA / EQUIPMENT,FORGERY,CLEARED BY ARREST,38.939745,-92.3223941,65201,2023,4,15,2,Saturday,FORGERY
202300509,2023-04-15 23:51:00,2023-04-15 02:03:59,2023-04-16 02:04:00,"906 VIRGINIA AVE, COLUMBIA MO",NO  ,LIQUOR LAW,FORGERY,CLEARED BY ARREST,38.939745,-92.3223941,65201,2023,4,15,2,Saturday,FORGERY
202300509,2023-04-15 23:51:00,2023-04-15 02:03:59,2023-04-16 02:04:00,"906 VIRGINIA AVE, COLUMBIA MO",NO  ,FORGERY,FORGERY,CLEARED BY ARREST,38.939745,-92.3223941,65201,2023,4,15,2,Saturday,FORGERY
202300508,2023-04-16 00:50:00,2023-04-16 00:50:00,2023-04-16 00:50:00,"309 HITT ST, COLUMBIA MO",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST,38.9477592,-92.3260376,65201,2023,4,16,0,Sunday,DRUG 
202300507,2023-04-16 00:52:00,2023-04-16 00:52:00,2023-04-16 00:52:00,"402 KENTUCKY BLVD, COLUMBIA MO",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED,38.9389372,-92.3330965,65201,2023,4,16,0,Sunday,LIQUOR LAW
202300506,2023-04-15 23:49:00,2023-04-15 23:48:59,2023-04-15 23:49:00,"906 VIRGINIA AVE, COLUMBIA MO",NO  ,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST,38.939745,-92.3223941,65201,2023,4,15,23,Saturday,LIQUOR LAW
202300504,2023-04-15 12:58:00,2023-04-14 15:00:00,2023-04-15 12:57:00,"500 S COLLEGE AVE, COLUMBIA MO",NO  ,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,EXCEPTIONALLY CLEARED,38.9458894,-92.3212764,65201,2023,4,14,15,Friday,LARCENY 
202300503,2023-04-15 03:54:00,2023-04-15 03:54:00,2023-04-15 03:54:00,"1306 ROLLINS ST, COLUMBIA MO",NO  ,MEDICAL EMERGENCY,MEDICAL EMERGENCY,CLOSED,38.9407214,-92.320369,65201,2023,4,15,3,Saturday,MEDICAL EMERGENCY
202300501,2023-04-15 02:01:00,2023-04-15 02:01:00,2023-04-15 02:01:00,"399 S NINTH ST, COLUMBIA MO",NO  ,MEDICAL EMERGENCY,MEDICAL EMERGENCY,CLOSED,38.9474505,-92.3275972,65201,2023,4,15,2,Saturday,MEDICAL EMERGENCY
202300500,2023-04-15 01:47:00,2023-04-15 01:47:00,2023-04-15 01:47:00,"1099 S PROVIDENCE RD, COLUMBIA MO",NO  ,DWI,DWI,CLEARED BY ARREST,38.9382528,-92.3342755,65201,2023,4,15,1,Saturday,DWI
202300500,2023-04-15 01:47:00,2023-04-15 01:47:00,2023-04-15 01:47:00,"1099 S PROVIDENCE RD, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST,38.9382528,-92.3342755,65201,2023,4,15,1,Saturday,DWI
202300499,2023-04-15 00:29:00,2023-04-15 00:29:00,2023-04-15 00:29:00,"1099 S PROVIDENCE RD, COLUMBIA MO",NO  ,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST,38.9382528,-92.3342755,65201,2023,4,15,0,Saturday,WARRANT ARREST
202300498,2023-04-14 15:55:00,2023-04-14 15:54:59,2023-04-14 15:55:00,"1299 ROLLINS ST, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST,38.9421671,-92.3220982,65201,2023,4,14,15,Friday,TRAFFIC OFFENSE
202300497,2023-04-14 15:24:00,2023-04-14 15:23:59,2023-04-14 15:24:00,"999 E STADIUM BLVD, COLUMBIA MO",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED,38.9351564,-92.3256949,65201,2023,4,14,15,Friday,CRASH INVESTIGATION
202300496,2023-04-14 02:22:00,2023-04-14 02:22:00,2023-04-14 02:22:00,"309 HITT ST, COLUMBIA MO",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED,38.9477592,-92.3260376,65201,2023,4,14,2,Friday,LIQUOR LAW
202300495,2023-04-14 01:24:00,2023-04-14 01:24:00,2023-04-14 01:24:00,"300 ELM ST, COLUMBIA MO",NO  ,LIQUOR LAW,FORGERY,CLEARED BY ARREST,38.9481733,-92.3342884,65201,2023,4,14,1,Friday,FORGERY
202300495,2023-04-14 01:24:00,2023-04-14 01:24:00,2023-04-14 01:24:00,"300 ELM ST, COLUMBIA MO",NO  ,FORGERY,FORGERY,CLEARED BY ARREST,38.9481733,-92.3342884,65201,2023,4,14,1,Friday,FORGERY
202300495,2023-04-14 01:24:00,2023-04-14 01:24:00,2023-04-14 01:24:00,"300 ELM ST, COLUMBIA MO",NO  ,DWI,FORGERY,CLEARED BY ARREST,38.9481733,-92.3342884,65201,2023,4,14,1,Friday,FORGERY
202300494,2023-04-14 00:52:00,2023-04-14 00:52:00,2023-04-14 00:52:00,"499 S FIFTH ST, COLUMBIA MO",NO  ,FORGERY,FORGERY,CLEARED BY ARREST,38.9459876,-92.3320767,65201,2023,4,14,0,Friday,FORGERY
202300494,2023-04-14 00:52:00,2023-04-14 00:52:00,2023-04-14 00:52:00,"499 S FIFTH ST, COLUMBIA MO",NO  ,LIQUOR LAW,FORGERY,CLEARED BY ARREST,38.9459876,-92.3320767,65201,2023,4,14,0,Friday,FORGERY
202300493,2023-04-13 23:28:00,2023-04-13 23:28:00,2023-04-13 23:28:00,"0 S PROVIDENCE RD, COLUMBIA MO",NO  ,DWI,DWI,CLEARED BY ARREST,38.9516349,-92.3341293,65203,2023,4,13,23,Thursday,DWI
202300493,2023-04-13 23:28:00,2023-04-13 23:28:00,2023-04-13 23:28:00,"0 S PROVIDENCE RD, COLUMBIA MO",NO  ,WARRANT ARREST,DWI,CLEARED BY ARREST,38.9516349,-92.3341293,65203,2023,4,13,23,Thursday,DWI
202300493,2023-04-13 23:28:00,2023-04-13 23:28:00,2023-04-13 23:28:00,"0 S PROVIDENCE RD, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST,38.9516349,-92.3341293,65203,2023,4,13,23,Thursday,DWI
202300491,2023-04-13 17:47:00,2023-04-13 17:46:59,2023-04-13 17:47:00,"1099 ELM ST, COLUMBIA MO",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED,38.9484747,-92.3255537,65201,2023,4,13,17,Thursday,CRASH INVESTIGATION
202300490,2023-04-13 17:19:00,2023-04-13 17:18:59,2023-04-13 17:19:00,"0 TIGER AVE, COLUMBIA MO",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED,38.9408817,-92.3302821,65201,2023,4,13,17,Thursday,CRASH INVESTIGATION
202300489,2023-04-13 17:10:00,2023-04-13 17:09:59,2023-04-13 17:10:00,"400 KENTUCKY BLVD, COLUMBIA MO",NO  ,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST,38.9394123,-92.3332081,65201,2023,4,13,17,Thursday,WARRANT ARREST
202300488,2023-04-13 12:27:00,2023-04-13 12:20:00,2023-04-13 12:27:00,"399 HITT ST, COLUMBIA MO",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED,38.9473559,-92.3255789,65201,2023,4,13,12,Thursday,CRASH INVESTIGATION
202300487,2023-04-13 12:19:00,2023-04-13 12:18:59,2023-04-13 12:19:00,"299 S FIFTH ST, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST,38.9483232,-92.3319737,65201,2023,4,13,12,Thursday,TRAFFIC OFFENSE
202300486,2023-04-13 00:46:00,2023-04-13 00:46:00,2023-04-13 00:46:00,"400 KENTUCKY BLVD, COLUMBIA MO",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED,38.9394123,-92.3332081,65201,2023,4,13,0,Thursday,LIQUOR LAW
202300485,2023-04-12 15:35:00,2023-04-12 10:00:00,2023-04-12 10:00:00,"1 HOSPITAL DR, COLUMBIA MO",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST,38.938273,-92.3273842,65201,2023,4,12,10,Wednesday,DRUG 
202300484,2023-04-12 13:02:00,2023-04-12 13:02:00,2023-04-12 13:02:00,"1100 EAST CAMPUS LOOP, COLUMBIA MO",NO  ,HARASSMENT,HARASSMENT,ACTIVE,38.940412,-92.3169504,65201,2023,4,12,13,Wednesday,HARASSMENT
202300480,2023-04-11 07:47:00,2023-04-11 07:46:59,2023-04-11 07:47:00,"1199 E STADIUM BLVD, COLUMBIA MO",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED,38.9345068,-92.3220018,65201,2023,4,11,7,Tuesday,CRASH INVESTIGATION
202300479,2023-04-11 03:41:34,2023-04-11 01:48:00,2023-04-11 01:48:00,"906 VIRGINIA AVE, COLUMBIA MO",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED,38.939745,-92.3223941,65201,2023,4,11,1,Tuesday,LIQUOR LAW
202300477,2023-04-10 16:02:00,2023-04-10 16:02:00,2023-04-10 16:02:00,"311 S SIXTH ST, COLUMBIA MO",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED,38.9477721,-92.33149,65201,2023,4,10,16,Monday,CRASH INVESTIGATION
202300476,2023-04-10 08:37:00,2023-04-10 08:36:59,2023-04-10 08:37:00,"999 ELM ST, COLUMBIA MO",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED,38.9487267,-92.3258538,65201,2023,4,10,8,Monday,CRASH INVESTIGATION
202300475,2023-04-09 20:36:00,2023-04-09 20:23:06,2023-04-09 20:36:00,"311 S SIXTH ST, COLUMBIA MO",NO  ,DWI,DWI,CLEARED BY ARREST,38.9477721,-92.33149,65201,2023,4,9,20,Sunday,DWI
202300474,2023-04-09 06:04:03,2023-04-09 06:04:02,2023-04-09 06:04:03,"1501 CAPEN PARK DR, COLUMBIA MO",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED,38.9321959,-92.3228308,65201,2023,4,9,6,Sunday,CRASH INVESTIGATION
202300472,2023-04-09 04:29:46,2023-04-09 01:18:00,2023-04-09 01:18:00,"1306 ROLLINS ST, COLUMBIA MO",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST,38.9407214,-92.320369,65201,2023,4,9,1,Sunday,ASSAULT
202300472,2023-04-09 04:29:46,2023-04-09 01:18:00,2023-04-09 01:18:00,"1306 ROLLINS ST, COLUMBIA MO",NO  ,FORGERY,ASSAULT-SIMPLE,CLEARED BY ARREST,38.9407214,-92.320369,65201,2023,4,9,1,Sunday,ASSAULT
202300472,2023-04-09 04:29:46,2023-04-09 01:18:00,2023-04-09 01:18:00,"1306 ROLLINS ST, COLUMBIA MO",NO  ,OTHER OFFENSE - REPORTABLE,ASSAULT-SIMPLE,CLEARED BY ARREST,38.9407214,-92.320369,65201,2023,4,9,1,Sunday,ASSAULT
202300471,2023-04-09 00:25:00,2023-04-09 00:25:00,2023-04-09 00:25:00,"1199 MONK DR, COLUMBIA MO",NO  ,FORGERY,FORGERY,CLEARED BY ARREST,38.9351842,-92.3267966,65201,2023,4,9,0,Sunday,FORGERY
202300471,2023-04-09 00:25:00,2023-04-09 00:25:00,2023-04-09 00:25:00,"1199 MONK DR, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,FORGERY,CLEARED BY ARREST,38.9351842,-92.3267966,65201,2023,4,9,0,Sunday,FORGERY
202300470,2023-04-08 23:45:00,2023-04-08 23:44:59,2023-04-08 23:45:00,"900 N PROVIDENCE RD, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST,38.9610357,-92.3340175,65201,2023,4,8,23,Saturday,TRAFFIC OFFENSE
202300469,2023-04-08 22:07:03,2023-04-08 22:07:03,2023-04-08 22:07:03,"0 COLLEGE AVE, COLUMBIA MO",NO  ,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST,38.9514238,-92.3218271,65211,2023,4,8,22,Saturday,WARRANT ARREST
202300468,2023-04-08 00:01:00,2023-04-08 00:01:00,2023-04-08 00:01:00,"1030 HITT ST, COLUMBIA MO",NO  ,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST,38.9386393,-92.3249176,65201,2023,4,8,0,Saturday,LIQUOR LAW
202300467,2023-04-07 22:22:00,2023-04-07 22:21:59,2023-04-07 22:22:00,"1306 ROLLINS ST, COLUMBIA MO",NO  ,HARASSMENT,HARASSMENT,EXCEPTIONALLY CLEARED,38.9407214,-92.320369,65201,2023,4,7,22,Friday,HARASSMENT
202300465,2023-04-07 19:22:00,2023-04-07 19:22:00,2023-04-07 19:22:00,"1300 ROLLINS ST, COLUMBIA MO",NO  ,LARCENY - OTHER,LARCENY - OTHER,ACTIVE,38.9410727,-92.3215039,65201,2023,4,7,19,Friday,LARCENY 
202300464,2023-04-07 01:30:00,2023-04-07 01:30:00,2023-04-07 01:30:00,"1199 E STADIUM BLVD, COLUMBIA MO",NO  ,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST,38.9345068,-92.3220018,65201,2023,4,7,1,Friday,LIQUOR LAW
202300463,2023-04-07 03:39:10,2023-04-06 22:39:00,2023-04-06 22:39:00,"904 S COLLEGE AVE, COLUMBIA MO",NO  ,OTHER OFFENSE - NOT REPORTABLE,OTHER OFFENSE - NOT REPORTABLE,INACTIVE (MUPD ONLY),38.9400368,-92.3212792,65201,2023,4,6,22,Thursday,OTHER OFFENSE 
202300462,2023-04-06 16:32:00,2023-02-01 00:00:00,2023-03-17 00:00:00,"1406 ROLLINS ST, COLUMBIA MO",NO  ,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,INACTIVE (MUPD ONLY),38.9416937,-92.3202034,65201,2023,2,1,0,Wednesday,LARCENY 
202300461,2023-04-06 15:52:00,2023-04-06 15:52:00,2023-04-06 15:52:00,"1099 W STADIUM BLVD, COLUMBIA MO",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST,38.937855,-92.3393629,65203,2023,4,6,15,Thursday,TRAFFIC OFFENSE
