case_number,time_reported,time_occured,location_of_occurence,domestic_relationship,incident_type,criminal_offense,disposition
202300514,04/17/2023 09:31:00 pm,04/17/2023 09:31:00 pm-04/17/2023 09:31:00 pm,"1133 ASHLAND RD , COLUMBIA MO, 65201     ",NO  ,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202300513,04/17/2023 03:38:00 pm,04/13/2023 08:33:00 pm-04/15/2023 05:25:14 am,"908 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202300512,04/17/2023 10:45:46 am,04/17/2023 10:45:45 am-04/17/2023 10:45:46 am,"1299 ROLLINS ST/S COLLEGE AVE , COLUMBIA MO, 65201     ",NO  ,WARRANT ARREST,TRAFFIC OFFENSE,CLEARED BY ARREST
202300512,04/17/2023 10:45:46 am,04/17/2023 10:45:45 am-04/17/2023 10:45:46 am,"1299 ROLLINS ST/S COLLEGE AVE , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300511,04/16/2023 11:40:00 pm,04/16/2023 11:39:59 pm-04/16/2023 11:40:00 pm,"907 HITT ST , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202300511,04/16/2023 11:40:00 pm,04/16/2023 11:39:59 pm-04/16/2023 11:40:00 pm,"907 HITT ST , COLUMBIA MO, 65201     ",NO  ,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - NARCOTIC,CLEARED BY ARREST
202300510,04/16/2023 03:27:11 am,04/16/2023 02:03:00 am-04/16/2023 02:03:00 am,"515 S FIFTH ST , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202300509,04/15/2023 11:51:00 pm,04/15/2023 02:03:59 am-04/16/2023 02:04:00 am,"906 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,FORGERY,CLEARED BY ARREST
202300509,04/15/2023 11:51:00 pm,04/15/2023 02:03:59 am-04/16/2023 02:04:00 am,"906 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,DRUG - PARAPHERNALIA / EQUIPMENT,FORGERY,CLEARED BY ARREST
202300509,04/15/2023 11:51:00 pm,04/15/2023 02:03:59 am-04/16/2023 02:04:00 am,"906 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202300509,04/15/2023 11:51:00 pm,04/15/2023 02:03:59 am-04/16/2023 02:04:00 am,"906 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202300508,04/16/2023 12:50:00 am,04/16/2023 12:50:00 am-04/16/2023 12:50:00 am,"309 HITT ST , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202300507,04/16/2023 12:52:00 am,04/16/2023 12:52:00 am-04/16/2023 12:52:00 am,"402 KENTUCKY BLVD , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202300506,04/15/2023 11:49:00 pm,04/15/2023 11:48:59 pm-04/15/2023 11:49:00 pm,"906 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST
202300505,04/15/2023 12:00:00 am,04/15/2023 12:00:00 am-04/15/2023 12:00:00 am,"1509 ROLLING ROCK DR , COLUMBIA MO, 65201     ", ,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202300504,04/15/2023 12:58:00 pm,04/14/2023 03:00:00 pm-04/15/2023 12:57:00 pm,"500 S COLLEGE AVE , COLUMBIA MO, 65201     ",NO  ,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,EXCEPTIONALLY CLEARED
202300503,04/15/2023 03:54:00 am,04/15/2023 03:54:00 am-04/15/2023 03:54:00 am,"1306 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,MEDICAL EMERGENCY,MEDICAL EMERGENCY,CLOSED
202300502,04/15/2023 04:00:00 am,04/15/2023 02:04:00 am-04/15/2023 02:04:00 am,"404 KENTUCKY BLVD , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300501,04/15/2023 02:01:00 am,04/15/2023 02:01:00 am-04/15/2023 02:01:00 am,"399 S NINTH ST/WOODSON WAY , COLUMBIA MO, 65201     ",NO  ,MEDICAL EMERGENCY,MEDICAL EMERGENCY,CLOSED
202300500,04/15/2023 01:47:00 am,04/15/2023 01:47:00 am-04/15/2023 01:47:00 am,"1099 S PROVIDENCE RD/E STADIUM BLVD , COLUMBIA MO, 65201     ",NO  ,DWI,DWI,CLEARED BY ARREST
202300500,04/15/2023 01:47:00 am,04/15/2023 01:47:00 am-04/15/2023 01:47:00 am,"1099 S PROVIDENCE RD/E STADIUM BLVD , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST
202300499,04/15/2023 12:29:00 am,04/15/2023 12:29:00 am-04/15/2023 12:29:00 am,"1099 S PROVIDENCE RD/E STADIUM BLVD , COLUMBIA MO, 65201     ",NO  ,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202300498,04/14/2023 03:55:00 pm,04/14/2023 03:54:59 pm-04/14/2023 03:55:00 pm,"1299 ROLLINS ST/S COLLEGE AVE , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300497,04/14/2023 03:24:00 pm,04/14/2023 03:23:59 pm-04/14/2023 03:24:00 pm,"999 E STADIUM BLVD/CHAMPIONS DR , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300496,04/14/2023 02:22:00 am,04/14/2023 02:22:00 am-04/14/2023 02:22:00 am,"309 HITT STREET , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202300495,04/14/2023 01:24:00 am,04/14/2023 01:24:00 am-04/14/2023 01:24:00 am,"300 ELM ST/S PROVIDENCE RD , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202300495,04/14/2023 01:24:00 am,04/14/2023 01:24:00 am-04/14/2023 01:24:00 am,"300 ELM ST/S PROVIDENCE RD , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202300495,04/14/2023 01:24:00 am,04/14/2023 01:24:00 am-04/14/2023 01:24:00 am,"300 ELM ST/S PROVIDENCE RD , COLUMBIA MO, 65201     ",NO  ,DWI,FORGERY,CLEARED BY ARREST
202300494,04/14/2023 12:52:00 am,04/14/2023 12:52:00 am-04/14/2023 12:52:00 am,"499 S FIFTH ST/E STEWART RD , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202300494,04/14/2023 12:52:00 am,04/14/2023 12:52:00 am-04/14/2023 12:52:00 am,"499 S FIFTH ST/E STEWART RD , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202300493,04/13/2023 11:28:00 pm,04/13/2023 11:28:00 pm-04/13/2023 11:28:00 pm,"0 S PROVIDENCE RD/E GREEN MEADOWS RD , COLUMBIA MO, 65203     ",NO  ,DWI,DWI,CLEARED BY ARREST
202300493,04/13/2023 11:28:00 pm,04/13/2023 11:28:00 pm-04/13/2023 11:28:00 pm,"0 S PROVIDENCE RD/E GREEN MEADOWS RD , COLUMBIA MO, 65203     ",NO  ,WARRANT ARREST,DWI,CLEARED BY ARREST
202300493,04/13/2023 11:28:00 pm,04/13/2023 11:28:00 pm-04/13/2023 11:28:00 pm,"0 S PROVIDENCE RD/E GREEN MEADOWS RD , COLUMBIA MO, 65203     ",NO  ,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST
202300492,04/13/2023 09:43:00 pm,04/13/2023 09:42:59 pm-04/13/2023 09:43:00 pm,"15550 S BOB VEACH RD , ASHLAND MO, 65010     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300491,04/13/2023 05:47:00 pm,04/13/2023 05:46:59 pm-04/13/2023 05:47:00 pm,"1099 ELM ST/HITT ST , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300490,04/13/2023 05:19:00 pm,04/13/2023 05:18:59 pm-04/13/2023 05:19:00 pm,"0 TIGER AVE/KENTUCKY BLVD , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300489,04/13/2023 05:10:00 pm,04/13/2023 05:09:59 pm-04/13/2023 05:10:00 pm,"400 KENTUCKY BLVD/S PROVIDENCE RD , COLUMBIA MO, 65201     ",NO  ,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202300488,04/13/2023 12:27:00 pm,04/13/2023 12:20:00 pm-04/13/2023 12:27:00 pm,"399 HITT ST/PAQUIN ST , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300487,04/13/2023 12:19:00 pm,04/13/2023 12:18:59 pm-04/13/2023 12:19:00 pm,"299 S FIFTH ST/ELM ST , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300486,04/13/2023 12:46:00 am,04/13/2023 12:46:00 am-04/13/2023 12:46:00 am,"400 KENTUCKY BLVD , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202300485,04/12/2023 03:35:00 pm,04/12/2023 10:00:00 am-04/12/2023 10:00:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202300484,04/12/2023 01:02:00 pm,04/12/2023 01:02:00 pm-04/12/2023 01:02:00 pm,"1100 EAST CAMPUS LOOP , COLUMBIA MO, 65201     ",NO  ,HARASSMENT,HARASSMENT,ACTIVE
202300483,04/11/2023 06:53:00 pm,04/11/2023 06:53:00 pm-04/11/2023 06:53:00 pm,"15 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202300482,04/11/2023 04:13:00 pm,04/11/2023 04:12:59 pm-04/11/2023 04:13:00 pm,"700 TIGER AVE , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300481,04/11/2023 03:28:00 pm,04/11/2023 03:28:00 pm-04/11/2023 03:28:00 pm,"901 VIRGINIA AVENUE , COLUMBIA MO, 65211     ",NO  ,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202300480,04/11/2023 07:47:00 am,04/11/2023 07:46:59 am-04/11/2023 07:47:00 am,"1199 E STADIUM BLVD/S COLLEGE AVE , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300479,04/11/2023 03:41:34 am,04/11/2023 01:48:00 am-04/11/2023 01:48:00 am,"906 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202300478,04/10/2023 03:58:00 pm,04/10/2023 03:57:59 pm-04/10/2023 03:58:00 pm,"520 S NINTH ST , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300477,04/10/2023 04:02:00 pm,04/10/2023 04:02:00 pm-04/10/2023 04:02:00 pm,"311 S SIXTH ST , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300476,04/10/2023 08:37:00 am,04/10/2023 08:36:59 am-04/10/2023 08:37:00 am,"999 ELM ST/WATSON PL , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300475,04/09/2023 08:36:00 pm,04/09/2023 08:23:06 pm-04/09/2023 08:36:00 pm,"311 S SIXTH ST , COLUMBIA MO, 65201     ",NO  ,DWI,DWI,CLEARED BY ARREST
202300474,04/09/2023 06:04:03 am,04/09/2023 06:04:02 am-04/09/2023 06:04:03 am,"1501 CAPEN PARK DR , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300473,04/09/2023 02:26:00 am,04/09/2023 02:26:00 am-04/09/2023 02:26:00 am,"1306 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202300472,04/09/2023 04:29:46 am,04/09/2023 01:18:00 am-04/09/2023 01:18:00 am,"1306 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202300472,04/09/2023 04:29:46 am,04/09/2023 01:18:00 am-04/09/2023 01:18:00 am,"1306 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,FORGERY,ASSAULT-SIMPLE,CLEARED BY ARREST
202300472,04/09/2023 04:29:46 am,04/09/2023 01:18:00 am-04/09/2023 01:18:00 am,"1306 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,OTHER OFFENSE - REPORTABLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202300471,04/09/2023 12:25:00 am,04/09/2023 12:25:00 am-04/09/2023 12:25:00 am,"1199 MONK DR/E STADIUM BLVD , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202300471,04/09/2023 12:25:00 am,04/09/2023 12:25:00 am-04/09/2023 12:25:00 am,"1199 MONK DR/E STADIUM BLVD , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,FORGERY,CLEARED BY ARREST
202300470,04/08/2023 11:45:00 pm,04/08/2023 11:44:59 pm-04/08/2023 11:45:00 pm,"900 N PROVIDENCE RD , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300469,04/08/2023 10:07:03 pm,04/08/2023 10:07:03 pm-04/08/2023 10:07:03 pm,"0 COLLEGE AVE/ ROLLINS , COLUMBIA MO, 65211     ",NO  ,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202300468,04/08/2023 12:01:00 am,04/08/2023 12:01:00 am-04/08/2023 12:01:00 am,"1030 HITT ST , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST
202300467,04/07/2023 10:22:00 pm,04/07/2023 10:21:59 pm-04/07/2023 10:22:00 pm,"1306 ROLLINS STREET , COLUMBIA MO, 65201     ",NO  ,HARASSMENT,HARASSMENT,EXCEPTIONALLY CLEARED
202300466,04/07/2023 06:36:00 pm,04/07/2023 12:00:00 am-04/07/2023 12:00:00 am,"805 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202300465,04/07/2023 07:22:00 pm,04/07/2023 07:22:00 pm-04/07/2023 07:22:00 pm,"1300 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202300464,04/07/2023 01:30:00 am,04/07/2023 01:30:00 am-04/07/2023 01:30:00 am,"1199 E STADIUM BLVD/S COLLEGE AVE , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST
202300463,04/07/2023 03:39:10 am,04/06/2023 10:39:00 pm-04/06/2023 10:39:00 pm,"904 S COLLEGE AVE , COLUMBIA MO, 65201     ",NO  ,OTHER OFFENSE - NOT REPORTABLE,OTHER OFFENSE - NOT REPORTABLE,INACTIVE (MUPD ONLY)
202300462,04/06/2023 04:32:00 pm,02/01/2023 12:00:00 am-03/17/2023 12:00:00 am,"1406 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,INACTIVE (MUPD ONLY)
202300461,04/06/2023 03:52:00 pm,04/06/2023 03:52:00 pm-04/06/2023 03:52:00 pm,"1099 W STADIUM BLVD/S WEST BLVD , COLUMBIA MO, 65203     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202300460,04/06/2023 02:29:00 pm,04/06/2023 02:28:59 pm-04/06/2023 02:29:00 pm,"1100 MICK DEAVER DR/E STADIUM BLVD , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,LEAVING THE SCENE OF ACCIDENT,ACTIVE
202300460,04/06/2023 02:29:00 pm,04/06/2023 02:28:59 pm-04/06/2023 02:29:00 pm,"1100 MICK DEAVER DR/E STADIUM BLVD , COLUMBIA MO, 65201     ",NO  ,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,ACTIVE
202300459,04/06/2023 02:15:00 pm,04/06/2023 02:14:59 pm-04/06/2023 02:15:00 pm,"900 UNIVERSITY AVE/S NINTH ST , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202300458,04/06/2023 07:40:00 am,04/05/2023 03:30:00 pm-04/06/2023 07:15:00 am,"1115 UNIVERSITY AVE , COLUMBIA MO, 65201     ",NO  ,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,ACTIVE
